序号,发布日期,发布时间（页面时区）,视频标题,视频链接,视频ID
82,2026-03-19,11:38:13-07:00,比特幣70000跌破！毫無反彈？做空何時加倉？,https://www.youtube.com/watch?v=4wLA39ereBE,4wLA39ereBE
83,2026-03-18,12:26:18-07:00,BTC受挫！一天跌5000，大陰線！開啟順暢下跌？,https://www.youtube.com/watch?v=uhVk4mQEmLI,uhVk4mQEmLI
84,2026-03-17,11:51:22-07:00,比特幣能否80000？看74K一帶！否則新月將至……,https://www.youtube.com/watch?v=n1nIgCDmDK8,n1nIgCDmDK8
85,2026-03-16,11:55:01-07:00,BTC漲勢不停！為什麼還漲？到哪可能反轉？,https://www.youtube.com/watch?v=jiY3DIVSQJY,jiY3DIVSQJY
86,2026-03-13,11:23:22-07:00,BTC轉牛？仍在下跌趨勢中！上漲只是獵殺空頭……,https://www.youtube.com/watch?v=SQ8i1FXQ3lk,SQ8i1FXQ3lk
87,2026-03-12,11:48:17-07:00,BTC空頭太多？資金費極低！未必能順暢下跌！,https://www.youtube.com/watch?v=K131GZRIl7Y,K131GZRIl7Y
88,2026-03-11,11:19:44-07:00,BTC繼續上漲！阻力無效？下殺後，強勢反彈！,https://www.youtube.com/watch?v=Vj1bSVTWN_4,Vj1bSVTWN_4
89,2026-03-10,12:11:25-07:00,BTC完美受阻！反抽不過？繼續下跌？小心了！,https://www.youtube.com/watch?v=rkwyvvPRug4,rkwyvvPRug4
90,2026-03-09,12:55:18-07:00,BTC跌更低？反彈是做空機會？周線詳細分析！,https://www.youtube.com/watch?v=gR_qt5NEGWg,gR_qt5NEGWg
91,2026-03-06,10:29:07-08:00,BTC跌下70000！重回盤整？恐怕跌更多？,https://www.youtube.com/watch?v=H12O7Wg3qoc,H12O7Wg3qoc
92,2026-03-05,10:52:50-08:00,BTC掉頭向下！盤整區假突破！這次跌去哪？,https://www.youtube.com/watch?v=oYcJrATQp28,oYcJrATQp28
93,2026-03-04,12:19:26-08:00,比特幣73000！逆勢上漲！走出盤整區？小心跌回！,https://www.youtube.com/watch?v=1bW8G8g-eiA,1bW8G8g-eiA
94,2026-03-03,10:45:11-08:00,BTC重回70000？還能繼續漲？戰爭影響幣價？,https://www.youtube.com/watch?v=tq4gtramMx4,tq4gtramMx4
95,2026-03-02,11:30:41-08:00,打起來了，還盤整嗎？！比特幣去前高？避險資產？,https://www.youtube.com/watch?v=2gmqkIVMMUo,2gmqkIVMMUo
96,2026-02-27,10:49:12-08:00,比特幣最後支撐！這一帶不能破！是否做多？,https://www.youtube.com/watch?v=6ggSNpr_SGI,6ggSNpr_SGI
97,2026-02-26,11:29:32-08:00,BTC繼續反彈？回踩多少有支撐？更高的低點！,https://www.youtube.com/watch?v=oh0nDqRiHD4,oh0nDqRiHD4
98,2026-02-25,11:20:11-08:00,BTC暴力反彈！目標前高？之後是漲是跌？,https://www.youtube.com/watch?v=HqWDa2Tk8Og,HqWDa2Tk8Og
99,2026-02-24,11:36:53-08:00,比特幣假跌破？若收回，將反彈！,https://www.youtube.com/watch?v=emszskcK9FM,emszskcK9FM
100,2026-02-23,11:41:18-08:00,BTC前低跌破！是否反彈？或者繼續跌下去？,https://www.youtube.com/watch?v=sQAvVgYmdA4,sQAvVgYmdA4
101,2026-02-20,12:10:49-08:00,BTC小反彈！不去前低？趨勢線突破，是真是假？,https://www.youtube.com/watch?v=jiSfLhdI4L8,jiSfLhdI4L8
102,2026-02-19,11:03:10-08:00,BTC還是要下來！臨近前低，不跌一下怎麼行？,https://www.youtube.com/watch?v=4n1szmbbZsU,4n1szmbbZsU
103,2026-02-18,11:30:38-08:00,BTC跌跌不休！可能還是要去前低……反彈還遠？,https://www.youtube.com/watch?v=_N-SsbugEZk,_N-SsbugEZk
104,2026-02-17,11:40:14-08:00,BTC赤馬年走勢！盤整才開始？最好的交易機會是？,https://www.youtube.com/watch?v=nNAbLeeWZog,nNAbLeeWZog
105,2026-02-13,11:12:32-08:00,比特幣反轉？迅速反彈！中線得到支撐？漲到哪裡會受阻？,https://www.youtube.com/watch?v=gkL9_fUzk9I,gkL9_fUzk9I
106,2026-02-12,11:27:11-08:00,BTC假突破！去往前低？還能反彈起來嗎？,https://www.youtube.com/watch?v=icSVcuTxH8s,icSVcuTxH8s
107,2026-02-11,10:55:10-08:00,BTC進入盤整區！一切才剛剛開始……,https://www.youtube.com/watch?v=d71wxbRpiS8,d71wxbRpiS8
108,2026-02-10,11:49:04-08:00,BTC上下邊界！在這區間盤整！先向下？先向上？,https://www.youtube.com/watch?v=GyNdoExBQ6o,GyNdoExBQ6o
109,2026-02-09,11:37:53-08:00,BTC進入吸籌區？放巨量後怎麼走？看看以前！,https://www.youtube.com/watch?v=kA_I1joliVM,kA_I1joliVM
110,2026-02-06,12:57:03-08:00,BTC跌到59900！迅速V反上70000！抄底？,https://www.youtube.com/watch?v=P8G4rL6R7KE,P8G4rL6R7KE
111,2026-02-05,12:18:11-08:00,比特幣65000！跌到位了沒？多少可抄底？,https://www.youtube.com/watch?v=iNlX_CosApM,iNlX_CosApM
112,2026-02-04,09:49:45-08:00,BTC毫無反彈！順暢下跌，能去多低？估算……,https://www.youtube.com/watch?v=RyofdKMaZUY,RyofdKMaZUY
113,2026-02-03,11:45:36-08:00,BTC一跌不復返？是否能站回？多空之間！,https://www.youtube.com/watch?v=CJs7eZHljrY,CJs7eZHljrY
114,2026-02-02,11:54:16-08:00,BTC跌破支撐！收回可做多？回抽失敗順勢加空！,https://www.youtube.com/watch?v=1h8GwbwC8to,1h8GwbwC8to
115,2026-01-30,11:47:42-08:00,黃金白銀大崩盤！BTC卻出現反彈？下跌趨勢改變了？,https://www.youtube.com/watch?v=JZFowGKvEwU,JZFowGKvEwU
116,2026-01-29,11:45:37-08:00,BTC順流直下！下跌才開始？跌到熊市劇本的什麼位置了？,https://www.youtube.com/watch?v=ttUAgovDasg,ttUAgovDasg
117,2026-01-28,11:22:06-08:00,BTC反彈跡象？最高漲到多少？順大逆小，慎做多！,https://www.youtube.com/watch?v=6O7_21V06v4,6O7_21V06v4
118,2026-01-27,11:34:55-08:00,比特幣懸停中！是要去哪？跌破收回，是要反彈？,https://www.youtube.com/watch?v=tl_4Mxn0MBs,tl_4Mxn0MBs
119,2026-01-26,10:52:30-08:00,BTC周線跌破？趨勢更明確！反彈已結束？,https://www.youtube.com/watch?v=oN6RX4HSvKE,oN6RX4HSvKE
120,2026-01-23,11:13:28-08:00,BTC開始反彈！漲到多少？做多，還是做空？,https://www.youtube.com/watch?v=LQSjldjhiqw,LQSjldjhiqw
121,2026-01-22,11:44:30-08:00,比特幣無反彈！做空更順勢？這一帶是強阻！,https://www.youtube.com/watch?v=rD3P84k3RJQ,rD3P84k3RJQ
122,2026-01-21,11:39:21-08:00,比特幣順跌！毫無反彈？這一帶有強阻力！ETH去哪？,https://www.youtube.com/watch?v=exl9U8hyx_I,exl9U8hyx_I
123,2026-01-20,11:49:16-08:00,BTC如期暴跌！還能漲起來嗎？一跌不復返！？,https://www.youtube.com/watch?v=qhIjRjsyJZA,qhIjRjsyJZA
124,2026-01-19,11:38:07-08:00,比特幣跌回！下跌繼續？以往是怎麼走的？,https://www.youtube.com/watch?v=RP_Al0Fnuok,RP_Al0Fnuok
125,2026-01-16,11:58:20-08:00,BTC生死之間！這兩條線，上去是電梯，下去是滑梯……,https://www.youtube.com/watch?v=rKO11VtS1dE,rKO11VtS1dE
126,2026-01-15,11:52:26-08:00,BTC突破！繼續反彈到更高？一旦跌回，問題將不妙！,https://www.youtube.com/watch?v=0ygT4SNtnNM,0ygT4SNtnNM
127,2026-01-14,10:43:33-08:00,比特幣123突破！趨勢線突破、前高突破，漲到哪？,https://www.youtube.com/watch?v=sODb361o-HY,sODb361o-HY
128,2026-01-13,11:20:36-08:00,BTC即將突破？杯柄蓄勢中！負資金費是好事……,https://www.youtube.com/watch?v=dHkDnDxYlts,dHkDnDxYlts
129,2026-01-12,11:49:28-08:00,BTC撐住！緩慢蓄力中！繼續向上？觀察這一帶！,https://www.youtube.com/watch?v=lHGU6EEllNo,lHGU6EEllNo
130,2026-01-09,11:28:47-08:00,BTC反彈無力？反復測試這條線……能否撐住？,https://www.youtube.com/watch?v=3xj6HxXl8eA,3xj6HxXl8eA
131,2026-01-08,11:39:16-08:00,BTC暫時撐住！有望反彈？只要不跌破，目標去這……,https://www.youtube.com/watch?v=-kIJ_YiEPhk,-kIJ_YiEPhk
132,2026-01-07,12:19:44-08:00,BTC如期下跌！能否撐住？順勢做空？踩穩做多？,https://www.youtube.com/watch?v=IUOlk0OFBlg,IUOlk0OFBlg
133,2026-01-06,11:23:16-08:00,BTC前高受阻！反彈失敗？如果反彈，這裡有阻力！,https://www.youtube.com/watch?v=LcX3kFd4kAY,LcX3kFd4kAY
134,2026-01-05,13:22:44-08:00,BTC新年起漲！小反彈？大反轉？漲到多少？,https://www.youtube.com/watch?v=I_HlGSnF01I,I_HlGSnF01I
135,2025-12-29,19:36:07-08:00,比特幣假突破！盤前的爆空頭！繼續向下走？,https://www.youtube.com/watch?v=TazdoHe9V1I,TazdoHe9V1I
136,2025-12-28,19:52:01-08:00,BTC總算盤出頭？趨勢線突破！做多可以，但留意時間！,https://www.youtube.com/watch?v=3g0B6_Oapks,3g0B6_Oapks
137,2025-12-25,17:22:21-08:00,BTC仍在盤整！趨勢線以下，沒有交易機會！,https://www.youtube.com/watch?v=Wsj0JzI1c8k,Wsj0JzI1c8k
138,2025-12-23,19:38:52-08:00,BTC還得跌？資金費率起來了！可能發生什麼？,https://www.youtube.com/watch?v=KKuURzQQ5pg,KKuURzQQ5pg
139,2025-12-22,18:05:19-08:00,BTC逼近趨勢線！卻掉頭就走？何時才突破！？,https://www.youtube.com/watch?v=SM5dpeAqAvk,SM5dpeAqAvk
140,2025-12-19,11:24:31-08:00,BTC上下畫門！可能先向下？資金費率又漲起來了……,https://www.youtube.com/watch?v=nU3A0TTD25k,nU3A0TTD25k
141,2025-12-18,11:29:33-08:00,BTC極致盤整！上下畫門！突破前，先獵殺止損？,https://www.youtube.com/watch?v=hg1xUMQYgZQ,hg1xUMQYgZQ
142,2025-12-17,12:06:36-08:00,BTC假收回！重新跌下趨勢線！可能去更低？,https://www.youtube.com/watch?v=C80E7LGD9xM,C80E7LGD9xM
143,2025-12-16,13:43:58-08:00,BTC楔形跌破？繼續下跌？很多人做空！會不會是空頭陷阱？,https://www.youtube.com/watch?v=RQ3KxYhLsEc,RQ3KxYhLsEc
144,2025-12-15,11:50:29-08:00,BTC急轉直下！徹底走壞？消息面悲觀，但最值得留意的是趨勢線！,https://www.youtube.com/watch?v=Mi7X47kw2Z8,Mi7X47kw2Z8
145,2025-12-12,11:14:14-08:00,BTC極致盤整！潛心觀察，稍安勿躁！,https://www.youtube.com/watch?v=OVfptUd-DhM,OVfptUd-DhM
146,2025-12-11,11:16:13-08:00,比特幣仍盤整！方向未變？唯一清晰的線，務必盯緊！,https://www.youtube.com/watch?v=3H6IaRqqQ-I,3H6IaRqqQ-I
147,2025-12-10,11:40:19-08:00,BTC蓄勢待發！一步步臨近趨勢線！ETH先突破了？,https://www.youtube.com/watch?v=QTwKQeVenyk,QTwKQeVenyk
148,2025-12-09,10:50:45-08:00,BTC如期反彈！漲去目標位？留意趨勢線！,https://www.youtube.com/watch?v=QnI7XWMhTbc,QnI7XWMhTbc
149,2025-12-08,10:49:27-08:00,比特幣反彈！缺口補足了？正靠近大趨勢線？,https://www.youtube.com/watch?v=mWNcdjUz100,mWNcdjUz100
150,2025-12-05,12:26:26-08:00,BTC回踩缺口！補足了嗎？是否能撐住？繼續漲？,https://www.youtube.com/watch?v=ma3ewdXgQmo,ma3ewdXgQmo
151,2025-12-04,10:15:41-08:00,BTC趨勢線將突破？逐漸臨近！回踩哪裡有支撐？,https://www.youtube.com/watch?v=F5UjEPPIEiI,F5UjEPPIEiI
152,2025-12-03,11:51:13-08:00,BTC反彈繼續？回落到這有支撐！漲去哪？,https://www.youtube.com/watch?v=7NA2dfgrNNU,7NA2dfgrNNU
153,2025-12-02,10:42:17-08:00,BTC強力反轉！看漲吞沒出現了？下一步去哪？,https://www.youtube.com/watch?v=cg1XLVuUXu0,cg1XLVuUXu0
154,2025-12-01,11:04:16-08:00,BTC掉頭向下！大勢已去？反彈結束了？,https://www.youtube.com/watch?v=pFyWSC97iVM,pFyWSC97iVM
155,2025-11-28,16:30:46-08:00,比特幣回落！反彈結束了？很多人做空，資金費率又負了……,https://www.youtube.com/watch?v=Ij1U33U9gEw,Ij1U33U9gEw
156,2025-11-27,14:52:32-08:00,BTC漲入盤整區！掉頭向下？繼續上攻？目標位還沒到……,https://www.youtube.com/watch?v=r1h03pvi0zI,r1h03pvi0zI
157,2025-11-26,13:53:41-08:00,BTC反彈未完！繼續上漲！目標到哪？,https://www.youtube.com/watch?v=Ien0VRxBwQw,Ien0VRxBwQw
158,2025-11-25,13:28:03-08:00,BTC反彈結束？前高假突破！還去更高嗎？,https://www.youtube.com/watch?v=tYTZz5mUzwA,tYTZz5mUzwA
159,2025-11-24,12:07:46-08:00,BTC跌極反彈！不再跌了？這次漲到哪？這指標有點准！,https://www.youtube.com/watch?v=pJoTBCUNVp8,pJoTBCUNVp8
160,2025-11-21,11:24:17-08:00,BTC恐慌拋售！放出巨量，情緒釋放！反彈契機？,https://www.youtube.com/watch?v=ssY6iGRCRBA,ssY6iGRCRBA
161,2025-11-20,11:39:51-08:00,比特幣仍狂跌！市場開始投降，不要接飛刀！去更低？,https://www.youtube.com/watch?v=TqGjKbSunpM,TqGjKbSunpM
162,2025-11-19,11:49:55-08:00,比特幣依然下跌！在哪抄底？是不是還早？大級別分析！,https://www.youtube.com/watch?v=GMaB-5m-49c,GMaB-5m-49c
163,2025-11-18,11:36:04-08:00,BTC觸底反彈！是小反彈？還是大反轉？危險消除了？,https://www.youtube.com/watch?v=s8xuEa1pGlA,s8xuEa1pGlA
164,2025-11-17,11:14:23-08:00,BTC狂跌！一點反彈也沒有？趨勢明確，順勢而為！,https://www.youtube.com/watch?v=8sOBpJYjWoA,8sOBpJYjWoA
